kind,srg_name,owner,descriptor,hint_vanilla_name,MITE_candidates_same_desc,called_by
method,func_110124_au,net/minecraft/entity/player/EntityPlayerMP,()Ljava/util/UUID;,getUniqueID,net/minecraft/entity/Entity::getUniqueID | net/minecraft/entity/Entity::getUniqueIDSilent,"com/sk89q/worldedit/forge/ForgePlayer, com/sk89q/worldedit/forge/ThreadSafeCache"
method,func_111066_d,net/minecraft/util/ChatMessageComponent,(Ljava/lang/String;)Lnet/minecraft/util/ChatMessageComponent;,createFromText,net/minecraft/util/ChatMessageComponent::addText | net/minecraft/util/ChatMessageComponent::addKey | net/minecraft/util/ChatMessageComponent::createFromJson | net/minecraft/util/ChatMessageComponent::createFromText | net/minecraft/util/ChatMessageComponent::createFromTranslationKey,com/sk89q/worldedit/forge/ForgePlayer
method,func_70012_b,net/minecraft/entity/Entity,(DDDFF)V,setLocationAndAngles,net/minecraft/entity/Entity::setPositionAndRotation | net/minecraft/entity/Entity::setLocationAndAngles,com/sk89q/worldedit/forge/ForgeWorld
method,func_70020_e,net/minecraft/entity/Entity,(Lnet/minecraft/nbt/NBTTagCompound;)V,copyDataFrom,net/minecraft/entity/Entity::writeToNBT | net/minecraft/entity/Entity::readFromNBT | net/minecraft/entity/Entity::readEntityFromNBT | net/minecraft/entity/Entity::writeEntityToNBT,com/sk89q/worldedit/forge/ForgeWorld
method,func_70106_y,net/minecraft/entity/Entity,()V,setDead,net/minecraft/entity/Entity::entityInit | net/minecraft/entity/Entity::resetEntityIds | net/minecraft/entity/Entity::onSpawned | net/minecraft/entity/Entity::preparePlayerToSpawn | net/minecraft/entity/Entity::setDead | net/minecraft/entity/Entity::spentTickInWater | net/minecraft/entity/Entity::spentTickInFire | net/minecraft/entity/Entity::spentTickInLava | net/minecraft/entity/Entity::checkForContactWithFireAndLava | net/minecraft/entity/Entity::detectAndRemoveDuplicateEntities | net/minecraft/entity/Entity::setAsUnwantedDuplicate | net/minecraft/entity/Entity::onUpdate | net/minecraft/entity/Entity::onEntityUpdate | net/minecraft/entity/Entity::setOnFireFromLava | net/minecraft/entity/Entity::extinguish | net/minecraft/entity/Entity::kill | net/minecraft/entity/Entity::causeQuenchEffect | net/minecraft/entity/Entity::doBlockCollisions | net/minecraft/entity/Entity::spawnSplashParticles | net/minecraft/entity/Entity::setBeenAttacked | net/minecraft/entity/Entity::onChunkLoad | net/minecraft/entity/Entity::updateRidden | net/minecraft/entity/Entity::updateRiderPosition | net/minecraft/entity/Entity::performHurtAnimation | net/minecraft/entity/Entity::setInWeb | net/minecraft/entity/Entity::onTransferToWorld | net/minecraft/entity/Entity::removeFromChunk | net/minecraft/entity/Entity::transferToChunkCurrentlyIn,com/sk89q/worldedit/forge/ForgeEntity
method,func_70109_d,net/minecraft/entity/Entity,(Lnet/minecraft/nbt/NBTTagCompound;)V,writeToNBT,net/minecraft/entity/Entity::writeToNBT | net/minecraft/entity/Entity::readFromNBT | net/minecraft/entity/Entity::readEntityFromNBT | net/minecraft/entity/Entity::writeEntityToNBT,com/sk89q/worldedit/forge/ForgeEntity
method,func_70302_i_,net/minecraft/inventory/IInventory,()I,getSizeInventory,net/minecraft/inventory/IInventory::getSizeInventory | net/minecraft/inventory/IInventory::getInventoryStackLimit,com/sk89q/worldedit/forge/ForgeWorld
method,func_70307_a,net/minecraft/tileentity/TileEntity,(Lnet/minecraft/nbt/NBTTagCompound;)V,readFromNBT,net/minecraft/tileentity/TileEntity::readFromNBT | net/minecraft/tileentity/TileEntity::writeToNBT,com/sk89q/worldedit/forge/TileEntityUtils
method,func_70310_b,net/minecraft/tileentity/TileEntity,(Lnet/minecraft/nbt/NBTTagCompound;)V,writeToNBT,net/minecraft/tileentity/TileEntity::readFromNBT | net/minecraft/tileentity/TileEntity::writeToNBT,com/sk89q/worldedit/forge/TileEntityBaseBlock
method,func_70441_a,net/minecraft/entity/player/InventoryPlayer,(Lnet/minecraft/item/ItemStack;)Z,addItemStackToInventory,net/minecraft/entity/player/InventoryPlayer::canCompletelyMergeWithExistingItemStacks | net/minecraft/entity/player/InventoryPlayer::addItemStackToInventory | net/minecraft/entity/player/InventoryPlayer::hasItemStack | net/minecraft/entity/player/InventoryPlayer::isWearing,com/sk89q/worldedit/forge/ForgePlayer
